LRUniqueID,SalePrice,SaleDate,PCUnit,PropertyType,NewBuild,Freehold,Add1,Add2,Add3,Easting,Northing
{2D1E4B25-FD9B-FCD1-E050-A8C0630544EC},620000,15/01/2016,SL0 0RB ,D,N,F,1,,ROSTREVOR GARDENS,502572,183347
{25EA59F9-61FF-4D50-E050-A8C0630562D0},285000,06/08/2015,UB4 8JU ,F,Y,L,"DARWIN COURT, 3",FLAT 13,KINGSWOOD PLACE,509115,181633
{25EA59F9-63D7-4D50-E050-A8C0630562D0},700000,13/11/2015,UB10 8JD,D,N,F,4,,HOYLAKE CRESCENT,507568,186561
{25EA59F9-6200-4D50-E050-A8C0630562D0},285000,06/08/2015,UB4 8JU ,F,Y,L,"DARWIN COURT, 3",FLAT 10,KINGSWOOD PLACE,509115,181633
{25EA59F9-6210-4D50-E050-A8C0630562D0},290000,06/08/2015,UB4 8JU ,F,Y,L,"DARWIN COURT, 3",FLAT 14,KINGSWOOD PLACE,509115,181633
{25EA59F9-6008-4D50-E050-A8C0630562D0},211000,14/10/2015,UB8 2UQ ,F,N,L,37,,CROSS ROAD,505265,184059
{25EA59F9-6234-4D50-E050-A8C0630562D0},225000,07/08/2015,UB4 8JU ,F,Y,L,"DARWIN COURT, 3",FLAT 7,KINGSWOOD PLACE,509115,181633
{25EA59F9-72B3-4D50-E050-A8C0630562D0},650000,09/11/2015,SL0 0LU ,D,N,F,BELLSWOOD FARM,,BELLSWOOD LANE,501804,181651
{25EA59F9-71C1-4D50-E050-A8C0630562D0},845000,26/10/2015,UB9 4AT ,D,N,F,47,,WILLOW CRESCENT WEST,505099,185295
{25EA59F9-74B1-4D50-E050-A8C0630562D0},820000,02/11/2015,SL0 0BS ,D,N,F,12,,POTTERS CROSS,503053,182932
{85866A65-026F-143F-E053-6B04A8C06A15},550000,07/03/2019,HA4 8DU,S,N,F,102,,EASTCOTE ROAD,509918,187788
{23B6165E-9B6B-FCF4-E050-A8C0620577FA},550000,02/10/2015,HA4 8DU ,S,N,F,110,,EASTCOTE ROAD,509918,187788
{2D1E4B25-E93D-FCD1-E050-A8C0630544EC},340000,09/10/2015,UB8 3TT ,T,N,F,31,,IVYBRIDGE CLOSE,506230,182909
{23B6165E-9AEE-FCF4-E050-A8C0620577FA},325000,09/10/2015,UB8 3DG ,T,N,F,52,,GOULDS GREEN,507918,181056
{23B6165E-9BCA-FCF4-E050-A8C0620577FA},415000,25/09/2015,UB8 3ET ,S,N,F,19,,CHERRY GROVE,507993,181686
{23B6165E-9CAD-FCF4-E050-A8C0620577FA},180000,18/09/2015,UB10 8TH,T,N,F,67,,CRANSTON CLOSE,508525,186661
{7011B109-A4E5-8ED6-E053-6B04A8C075C1},232000,03/04/2018,UB10 8TH,F,N,L,51,,CRANSTON CLOSE,508525,186661
{7011B109-A4E3-8ED6-E053-6B04A8C075C1},280000,30/04/2018,UB8 1XU,F,N,L,3,,LANCRESSE CLOSE,505668,184638
{7011B109-A0E8-8ED6-E053-6B04A8C075C1},420000,18/05/2018,UB4 8AN,T,N,F,3,,FROGMORE GARDENS,509196,182261
{7011B109-11D7-8ED6-E053-6B04A8C075C1},437500,18/05/2018,SL9 7DX,S,N,F,6,,GAVIOTS WAY,500302,187523
{773788C2-E97A-2CE4-E053-6C04A8C05E57},458000,10/09/2018,UB3 2SF,D,N,F,59,,WOOD END GREEN ROAD,508960,181471
{7011B108-FF74-8ED6-E053-6B04A8C075C1},480000,19/03/2018,UB4 8FP,S,Y,F,5,,PALOMINO CLOSE,508958,183269
{7011B108-FF71-8ED6-E053-6B04A8C075C1},399000,16/03/2018,UB4 8FP,S,Y,F,2,,PALOMINO CLOSE,508958,183269
{7011B109-1210-8ED6-E053-6B04A8C075C1},382500,08/06/2018,UB9 5AT,S,N,F,30,,PRIORY CLOSE,504364,186185
{7011B108-FF9E-8ED6-E053-6B04A8C075C1},475000,22/03/2018,UB4 8FP,S,Y,F,6,,PALOMINO CLOSE,508958,183269
{7011B108-FFA8-8ED6-E053-6B04A8C075C1},475000,23/03/2018,UB4 8FP,S,Y,F,4,,PALOMINO CLOSE,508958,183269
{7011B108-FF93-8ED6-E053-6B04A8C075C1},435000,16/03/2018,UB4 8FP,S,Y,F,11,,PALOMINO CLOSE,508958,183269
{DE1FC319-A673-4A88-94F6-DB6C6C2CF518},450000,20/02/2015,HA4 7NS ,D,N,F,15,,MARLBOROUGH AVENUE,508502,188131
{288DCE28-AC7D-E510-E050-A8C06205480E},220000,24/11/2015,UB4 8SR ,F,N,L,24,,CHESIL WAY,509683,182716
{288DCE28-AC84-E510-E050-A8C06205480E},137000,18/12/2015,UB4 8HQ ,F,N,L,15,,WESTCOMBE LODGE DRIVE,508992,181857
{288DCE28-B14C-E510-E050-A8C06205480E},325000,11/12/2015,UB8 3HB ,T,N,F,31,,HUBBARDS CLOSE,507608,181373
{288DCE28-C1CE-E510-E050-A8C06205480E},760000,11/12/2015,SL9 7DX ,D,N,F,30,,GAVIOTS WAY,500302,187523
{288DCE28-AEC1-E510-E050-A8C06205480E},295000,28/08/2015,UB4 8JU ,F,Y,L,"DARWIN COURT, 3",FLAT 5,KINGSWOOD PLACE,509115,181633
{288DCE28-AED6-E510-E050-A8C06205480E},285000,07/08/2015,UB4 8JU ,F,Y,L,"DARWIN COURT, 3",FLAT 8,KINGSWOOD PLACE,509115,181633
{288DCE28-AEF4-E510-E050-A8C06205480E},285000,07/08/2015,UB4 8JU ,F,Y,L,"DARWIN COURT, 3",FLAT 9,KINGSWOOD PLACE,509115,181633
{288DCE28-ADDD-E510-E050-A8C06205480E},352000,11/12/2015,UB8 3TT ,T,N,F,13,,IVYBRIDGE CLOSE,506230,182909
{288DCE28-AC3B-E510-E050-A8C06205480E},565000,15/12/2015,UB8 3QR ,D,N,F,THE GLEBE HOUSE,,ROYAL LANE,506820,182753
{288DCE28-C2A0-E510-E050-A8C06205480E},770000,11/12/2015,SL9 8NW ,D,N,F,18,,AUSTENWAY,500102,189965
{39140479-3C8B-3206-E050-A8C063057647},370000,24/03/2016,HA4 8ND ,F,N,L,PARKWAY COURT,2,PEMBROKE ROAD,509893,187196
{34428D7E-4D36-B86C-E050-A8C06205059C},270000,29/04/2016,UB8 1XU ,F,N,L,7,,LANCRESSE CLOSE,505668,184638
{34428D7E-4BF3-B86C-E050-A8C06205059C},320000,22/04/2016,UB3 2QU ,T,N,F,4,,WAYLANDS,508696,181598
{2B419DD1-A937-4C2E-A963-673A7BAEF226},495000,17/07/2015,UB10 0JF,S,N,F,43,,HILLINGDON HILL,506506,182975
{B6B2689B-11B3-458F-8370-685EDF866B03},325000,03/07/2015,UB10 9DW,T,N,F,69,,MIDHURST GARDENS,508063,183939
{AC94452C-4518-46B0-9011-872797B42CF3},510000,19/06/2015,UB10 8JD,S,N,F,11,,HOYLAKE CRESCENT,507568,186561
{FE16446C-0F49-4B1B-A9D7-49A9091ACC72},525000,19/06/2015,UB8 3AL ,T,N,F,21,,CLAYTON WAY,505659,182060
{59A6ED9A-AE2A-4F8C-8F08-E40432839339},375000,24/06/2015,UB4 8NH ,S,N,F,82,,WEYMOUTH ROAD,509620,183034
{DD5269F6-335A-4CE5-9CA6-4B147AAE01F8},117000,14/07/2015,UB4 8HQ ,F,N,L,14,,WESTCOMBE LODGE DRIVE,508992,181857
{17FEA9E1-4EC5-419D-8590-24E3DDBE6706},425000,15/07/2015,HA4 6PX ,T,N,F,71,,CLYFFORD ROAD,509898,185709
{43E750EA-B50C-4D0A-9EB3-25A77210B9C5},1000000,30/06/2015,SL0 0BS ,D,N,F,6,,POTTERS CROSS,503053,182932
{7ED63548-E8ED-4706-B689-FD9056FEE645},232500,03/07/2015,UB8 1XU ,F,N,L,3,,LANCRESSE CLOSE,505668,184638
{19E1E01F-470D-4A04-B2AA-E3A689CA4CB6},280000,24/07/2015,UB7 8LX ,T,N,F,12,,WINDERMERE WAY,506473,180426
{64342BFD-B280-422C-E053-6C04A8C0FB8A},437500,14/12/2017,UB10 8FZ,F,Y,L,WALSHAM COURT,FLAT 54,PERKINS GARDENS,508287,186705
{5376B385-05A9-34C1-E053-6B04A8C09FF6},725000,27/04/2017,UB10 8FL,S,Y,F,7,,CUNNINGHAM DRIVE,508382,186677
{5376B385-019A-34C1-E053-6B04A8C09FF6},295000,05/06/2017,UB8 1JL,F,N,L,"RIVERBANK POINT, 114",107,HIGH STREET,505319,184483
{5376B385-B60C-34C1-E053-6B04A8C09FF6},550000,02/06/2017,HA4 7SX,T,N,F,3,,BURY STREET,508898,187738
{5376B385-03DB-34C1-E053-6B04A8C09FF6},380000,19/06/2017,UB8 3BJ,T,N,F,7,,CHILTERN COURT,507793,182279
{25EA59F9-7249-4D50-E050-A8C0630562D0},596500,23/11/2015,SL9 8AB ,F,N,L,"FLAT 1, 23",GROVE HOUSE,MARSHAM WAY,500365,188564
{25EA59F9-61E2-4D50-E050-A8C0630562D0},229450,30/06/2015,UB10 0FQ,F,N,L,"BLENHEIM HOUSE, 11",FLAT 7,FOWLER WAY,506065,183333
